time,data_queue_size,fuel_valve_setpoint,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402,Thrust_Pred_lbf,OF_Pred,mdot_f,mdot_lox
0.071,0,81,0.00348687,0,55008,74,-24.99681282,0,6000962,577.953595456405,620.064153737866,578.693753291727,785.573458198691,753.41040703738,732.9955302125,196.811718806699,202.08203125,641.622617987544,1.17635469368041,0.668142567891793,0.785972645787189
0.072,0,81,0.00348687,0,55008,74,-24.99681282,0,6000962,590.173218719569,630.70295372631,588.609413041191,789.035197758446,745.512399717909,724.144256952158,196.267642070833,201.83789062,640.320038605616,1.18261221235779,0.663714052509364,0.784916344011056
0.073,0,81,0.00348687,0,55008,74,-24.99681282,0,2855993,581.706556664965,612.850578629916,571.383216679788,780.272188273602,755.561443282879,734.952186931164,197.203752647121,203.79101562,641.937531426237,1.17486744348765,0.669197490706629,0.786218345094847
0.074,0,81,0.00348687,0,55008,74,-24.99681282,0,911157,585.440367137217,624.031960643504,583.518530010335,787.449086650534,754.758030734373,732.792020190247,198.061345517988,205.01171875,640.498717601339,1.17379983912806,0.668201383226182,0.784334676136042
0.075,0,81,0.00348687,0,55008,74,20.00318336,44999.9921875,992415,589.393107551721,624.995800216816,583.842897867422,793.496054147772,756.633838332727,734.647176146076,196.565572810934,204.03515625,641.586776660102,1.17211259146255,0.670221777692133,0.785575384705365
0.076,0,81,0.00348687,0,55008,74,20.00318336,0,1218842,586.569382379736,623.470746440385,583.739565698566,783.154725511941,750.856465482815,729.247678235523,194.228277396223,204.5234375,642.955060456937,1.17925973936074,0.668160273510531,0.787934509991231
0.077,0,81,0.00348687,0,55008,74,20.00318336,0,1218842,591.808985943832,632.892748501204,591.00519242529,790.615806285379,744.562922172213,723.739881435992,198.046623025831,205.25585937,638.727001361047,1.18251629572973,0.662063448813372,0.782900817028835
0.078,0,81,0.00348687,0,55008,74,20.00318336,0,1218842,585.761900431216,614.703915918603,572.963956828332,792.113118131268,757.737219873465,735.645122536694,203.781434390503,207.94140625,637.298849903651,1.17001420013233,0.666554406581766,0.779878120861447
0.079,0,81,0.00348687,0,55008,74,20.00318336,0,1218842,588.146590391183,630.320788792489,589.181986270437,790.381079470555,747.136520852322,725.956893399052,197.321457892898,206.96484375,639.756886413765,1.18066714023743,0.664058545048693,0.784032103332867
0.08,0,81,0.00348687,0,55008,74,20.00318336,0,1218842,592.447800745081,620.438729502354,579.651681027512,789.968757788935,743.37021999514,723.081976341274,200.271127687273,208.91796875,638.398019346554,1.18594985596236,0.659990358411498,0.782715470494665
0.081,0,81,0.00348687,0,55008,74,20.00318336,0,1218842,587.56590288193,625.616727878232,585.91083434109,790.870021492909,745.977885855058,724.61032342188,201.143542261646,209.89453125,637.527988503227,1.18189310990287,0.661043882343572,0.781283209885308
0.082,0,81,0.00348687,0,55008,74,20.00318336,0,6024970,590.327132064209,631.858164576692,592.23256454786,784.565347345649,754.859586438811,733.019197483675,204.78175711171,210.62695312,634.988875930402,1.16978941842073,0.664217208770649,0.776994262352857
0.083,0,81,0.00348687,0,55008,74,20.00318336,0,6024970,597.251426537966,619.334075949987,580.368056285988,793.362030680103,750.69421107433,729.682470743159,200.59765445948,210.87109375,638.788306651596,1.17809065482113,0.664228515244264,0.782521406474981
0.084,0,81,0.00348687,0,55008,74,20.00318336,0,6024970,584.155912852428,633.175951402095,592.232894794958,790.568116185531,760.687380154193,738.741640858867,202.128398241542,210.62695312,637.099320685688,1.16411825048831,0.669318104679966,0.779165421040194
0.085,0,81,0.00348687,0,55008,74,20.00318336,0,6024970,592.730810921553,621.411816191756,578.537515426465,794.075141198322,745.463995760058,723.788011308058,203.414167543497,211.359375,636.239027993912,1.18250109240157,0.659352501531005,0.779685053338119
0.086,0,81,0.00348687,0,55008,74,20.00318336,0,6024970,605.156546713315,628.90546895547,586.358940683891,785.89567448904,745.352209658013,724.602465689912,203.205770008708,211.359375,635.691749861151,1.18122302173776,0.659411258261826,0.778911759051936
0.087,0,81,0.00348687,0,55008,74,20.00318336,0,6024970,589.416565760373,636.402656254982,597.525340143615,790.377816233061,750.012178585828,728.248057534682,204.707378553407,212.82421875,634.064429775505,1.17372147456009,0.661329221593209,0.776216309138059
0.088,0,81,0.00348687,0,55008,74,-24.99681282,-44999.9921875,5987137,592.476183448906,633.248128441387,592.608861090058,791.501177674656,756.045726351795,734.692447055194,206.523689966838,211.84765625,633.71096598986,1.1676330848677,0.663881564871889,0.775170079578159
0.089,0,81,0.00348687,0,55008,74,-24.99681282,0,5987137,598.630977722425,633.925681824835,592.686049927403,793.157169106466,749.870512692441,729.842594006848,208.492628725098,214.53320312,631.776145051405,1.17348729434205,0.658943696391455,0.773262055402154
0.09,0,81,0.00348687,0,55008,74,-24.99681282,0,5987137,601.129722737879,632.114930447888,592.293697525518,788.729655767822,749.375863989565,728.649938460496,209.583163396541,214.04492187,631.194487902494,1.17416201324813,0.657978277996441,0.772573099565841
0.091,0,81,0.00348687,0,55008,74,-24.99681282,0,2850488,600.174333250098,632.852072852402,593.506163457763,791.685350530821,750.14246929084,729.121599609378,208.459867904025,214.53320312,631.951002555743,1.17348303282715,0.659129115285058,0.773476833229384
