time,data_queue_size,fuel_valve_setpoint,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402,Thrust_Pred_lbf,OF_Pred,mdot_f,mdot_lox
0.051,0,81,0.00348687,0,7189945,74,20.00318336,0,1223417,688.336077371853,605.015067666724,564.469276111324,770.053999563956,747.021788176845,726.046022485974,352.874777928869,349.3046875,517.149660091392,1.09990149960432,0.562247031230298,0.618416352798283
0.052,0,81,0.00348687,0,7189945,74,20.00318336,0,1223417,685.291287752801,602.934194772607,560.368650447274,767.871025456866,736.190579513653,714.543136218855,354.578484245556,348.81640625,513.052599121518,1.11224132803627,0.553234325702034,0.615330081134079
0.053,0,81,0.00348687,0,7189945,74,20.00318336,0,1223417,686.100348428875,603.409845352769,561.531032939786,772.662456788512,745.273324796471,724.573289294062,354.034526548861,349.06054687,515.356409841004,1.10008364953436,0.560168922166438,0.616232672252581
0.054,0,81,0.00348687,0,7189945,74,20.00318336,0,1223417,687.508241471041,599.409702192947,559.266623824239,762.256017723602,744.744528665569,723.587130848483,352.793584827807,348.08398437,515.140934171851,1.09831330824689,0.560678509229188,0.615800668334445
0.055,0,81,0.00348687,0,7189945,74,20.00318336,0,1223417,689.826664651337,602.000520024004,562.143831125318,768.354705875737,745.014504225325,723.440392606221,352.865349212648,348.81640625,515.929445870236,1.10017077219387,0.560820260003479,0.616998058509993
0.056,0,81,0.00348687,0,7189945,74,20.00318336,0,1223417,692.344399162614,609.998971100555,569.199539745456,766.593248073797,752.578395855056,731.78565180416,355.111326847145,349.54882812,517.475806680328,1.09441323039879,0.564610081850341,0.617916743593556
0.057,0,81,0.00348687,0,7189945,74,20.00318336,0,6011698,694.122176555761,602.552526001617,562.116674088573,775.275413843932,740.655121451009,720.319096022772,352.245156724373,351.01367187,515.836622703575,1.10730520006154,0.558140110834034,0.618031447089452
0.058,0,81,0.00348687,0,7189945,74,20.00318336,0,6011698,687.388930217379,605.642206459189,565.924859948445,767.199018427559,747.477689846336,726.629330467634,355.64047509229,351.50195312,514.949058510756,1.09759847686495,0.560597159661905,0.615310588579722
0.059,0,81,0.00348687,0,7189945,74,20.00318336,0,6011698,694.445767525037,608.033873829441,566.734565382723,775.328370657891,742.554124989989,721.764156078946,354.959631453688,352.72265625,515.330033193982,1.1070473298109,0.557553892186587,0.617238547570833
0.06,0,81,0.00348687,0,7189945,74,20.00318336,0,6011698,692.646699511809,605.358686941684,564.93954211458,769.019964036228,742.784427764574,721.223871200754,354.273662931714,352.72265625,515.239927480424,1.10506075904452,0.558212530362184,0.616858762510196
0.061,0,81,0.00348687,0,7189945,74,20.00318336,0,6011698,691.241910826556,613.218420633555,573.475054395956,770.796000691469,744.717471058127,723.744592365155,354.969982796482,353.2109375,517.051098775094,1.10791258867036,0.559100286968246,0.619434246261332
