Var1,Var2,Var3,Var4,Var5,Var6
6.09,406,406,38.721201550513,44.5787384483214,0.38976
6.09,406,406,38.7588383980455,44.6508890928514,0.39585
6.09,406,406,38.7964443910847,44.7230277282527,0.40194
6.09,406,406,38.8340195296307,44.7951543545255,0.40803
6.09,406,406,39.2053431100382,45.0042892568232,0.41412
6.09,406,406,39.4934041053324,45.0868623807811,0.42021
6.09,406,406,39.3758942374501,45.0866319882603,0.4263
6.09,406,406,39.3552786523178,45.0706078467297,0.43239
6.09,406,406,40.1331628979808,45.0331391038081,0.43848
6.09,406,406,40.9519876084399,44.9948200395484,0.44457
6.09,406,406,41.770812318899,44.9565009752887,0.45066
6.09,406,406,42.1919632932059,44.9389949461657,0.45675
6.09,406,406,42.3386302461768,44.9603254877625,0.46284
6.09,406,406,42.0159546041863,45.1648751726215,0.46893
6.09,406,406,42.2634860326837,45.1247050063879,0.47502
6.09,406,406,42.4297675975321,45.1586605052954,0.48111
6.09,406,406,42.2762417334598,45.0400001416042,0.4872
6.09,406,406,42.0751831190188,44.9604802757562,0.49329
6.09,406,406,40.8874392145617,45.0058819110361,0.49938
6.09,406,406,41.7091688407023,45.030734407499,0.50547
6.09,406,406,41.4691372535178,44.9671043818618,0.51156
6.09,406,406,41.4308683539205,44.9123407279532,0.51765
6.09,406,406,41.3679710725508,44.9430994092429,0.52374
6.09,406,406,41.3807700733136,44.9993648732602,0.52983
6.09,406,406,41.463141695624,45.0047379384351,0.53592
6.09,406,406,41.5502645846549,44.9737675511777,0.54201
6.09,406,406,41.6373874736858,44.9427971639203,0.5481
6.09,406,406,41.8189270185442,44.9204245685967,0.55419
6.09,406,406,42.2158678044852,44.9282889953687,0.56028
6.09,406,406,42.2648446390647,44.9392138908535,0.56637
6.09,406,406,42.3138214736442,44.9501387863383,0.57246
6.09,406,406,42.3627983082237,44.9610636818231,0.57855
6.09,406,406,42.6496427530036,45.2536113201472,0.58464
6.09,406,406,43.279122274401,45.951820872629,0.59073
6.09,406,406,43.9086017957983,46.6500304251107,0.59682
6.09,406,406,44.5380813171957,47.3482399775925,0.60291
6.09,406,406,45.1675608385931,48.0464495300742,0.609
6.09,406,406,45.7970403599904,48.744659082556,0.61509
6.09,406,406,46.4265198813878,49.4428686350377,0.62118
6.09,406,406,47.0559994027852,50.1410781875194,0.62727
6.09,406,406,47.6854789241825,50.8392877400012,0.63336
6.09,406,406,48.3149584455799,51.5374972924829,0.639450000000001
6.09,406,406,48.9444379669773,52.2357068449647,0.645540000000001
6.09,406,406,49.5739174883746,52.9339163974464,0.651630000000001
6.09,406,406,50.203397009772,53.6321259499282,0.657720000000001
6.09,406,406,50.8328765311694,54.3303355024099,0.663810000000001
6.09,406,406,51.4623560525667,55.0285450548917,0.669900000000001
6.09,406,406,52.0918355739641,55.7267546073734,0.675990000000001
6.09,406,406,52.7213150953615,56.4249641598552,0.682080000000001
6.09,406,406,53.3507946167588,57.1231737123369,0.688170000000001
6.09,406,406,53.9802741381562,57.8213832648186,0.694260000000001
6.09,406,406,54.6097536595536,58.5195928173004,0.700350000000001
6.09,406,406,55.2392331809509,59.2178023697821,0.706440000000001
6.09,406,406,55.7638310609738,59.8033109754554,0.712530000000001
6.09,406,406,55.8881345788229,59.9586818274866,0.718620000000001
6.09,406,406,56.0124380966719,60.1140526795179,0.724710000000001
6.09,406,406,56.1367416145209,60.2694235315492,0.730800000000001
6.09,406,406,56.26104513237,60.4247943835805,0.736890000000001
